Startup,Type,Intro,Fondateurs,Description,Site,Lien Utile,Info
LES SAVEURS D ANGELUS,"Restauration, Cuisine, Alimentation - Produits frais",Livraison de fruits au bureau,['Louis-Marie  Renard'],"['Les Saveurs d’Angélus est une jeune entreprise de livraison de délicieux fruits au bureau en Ile de France.', 'Consciente de la nécessité de plus en plus évidente de se nourrir de produits sains de nos terroirs, consciente de l’importance de suivre une alimentation saine, riche et variée, Les Saveurs d’Angélus propose des produits d’une grande fraîcheur.', 'Chaque produit est savoureusement étudié et sélectionné - origine, mode de production, qualité, fraîcheur - avant d’être proposé à la clientèle afin de garantir excellence et satisfaction de nos clients.', 'De plus, dans le souci de favoriser l’économie locale et de privilégier les circuits courts, l’entreprise a créé des partenariats avec les artisans et producteurs locaux et régionaux, habitant pour beaucoup en Ile-de-France.', 'Née en 2017, Les Saveurs d’Angélus travaille déjà avec plusieurs entreprises soucieuses du bien-être de leurs salariés.', ""Celles-ci se réjouissent de proposer à leurs équipes une alternative aux repas trop rapides et manquant d'équilibre, peu recommandés par les nutritionnistes, les directives de santé publique et ... le bon sens."", 'Au-delà du souci du « se nourrir sainement », Les Saveurs d’Angélus offre la possibilité de découvrir et/ou redécouvrir la richesse de nos terroirs : des produits simples au goût authentique, rassasiants et dynamisants !', '', 'Ajoutée le : 18 septembre 2019']",saveursdangelus.com,['https://www.linkedin.com/company/saveurs-dangelus/'],Société par action simplifiées
MONART,"Art, Culture, Loisirs, Sport",La première plateforme au monde blockchain dédiée à toutes les formes d'art,"[""Malo GIROD DE L'AIN ""]","['Monart la communauté artistique et le marché international innovant :', ""Monart permet de découvrir, discuter, apprécier et acheter de superbes œuvres d'artistes du monde entier."", ""Monart est également le nouveau marché de l'art permettant d'acheter de superbes œuvres ou des actions en ligne, lors d'enchères ou d'événements\xa0et de profiter de la croissance du marché de l'art."", 'Monart organise une importante promotion d’artistes en ligne et hors ligne et contribue à la création d’œuvres d’art novatrices et perturbatrices grâce à l’aide du Fonds d’accélération artistique Monart.', '', 'Ajoutée le : 18 septembre 2019']",monart.art/,['http://www.linkedin.com/company/my-monart'],Société par action simplifiées
REA,"Immobilier, BTP, Architecture - BTP, Architecture",Organisez vos travaux et gagnez du temps,"['Maxence HARM ', 'Zélia HARM ']","[""Réa. est la première application de gestion de travaux aussi complète et qui s'adresse avant tout aux petites structures de conception comme aux entreprises."", 'Inspirée de la théorie du BIM, elle offre dès le DCE une vision globale et organisée de votre projet de construction, de rénovation ou de décoration et vous suit tout au long de vos petits et de vos grands travaux.', 'Elle s’adapte à tous les utilisateurs grâce à ses nombreux outils interactifs pour permettre d’économiser du temps et de l’argent.', '', 'Ajoutée le : 18 septembre 2019']",rea-app.fr,['https://www.linkedin.com/company/rea-app/'],Société par action simplifiées
MY CYBER ROYAUME,"Electronique & Composants - Réalité Augmentée, Réalité Virtuelle",Concepteur de programmes innovants en réalité virtuelle,['Dimitri COLLET '],"['My Cyber Royaume conçoit des outils technologiques en réalité virtuelle en s’alliant avec des grands professeurs, chercheurs, médecins et thérapeutes.', 'Notre force: une équipe pluridisciplinaire dédiée à nos projets. Nous les réalisons sur mesure pour nos clients en plus des gammes dédiées à la stimulation, au soin et à la santé des utilisateurs.', 'My Cyber Royaume révolutionne la pratique thérapeutique en encourageant la prévention, le soin et en stimulant la participation active des patients, atteints de troubles cogntifs ou moteurs légers tout en les émerveillant.', '', 'Ajoutée le : 18 septembre 2019']",mycyberroyaume.com/,['https://www.linkedin.com/company/my-cyber-royaume/'],Société par action simplifiées
BOROBO,"Electronique & Composants - Drone, Robotique",Le 1er chariot de course robotisé pour transporter des charges lourdes,['Patrick CHANUDET '],"['La société BOROBO a été créée en novembre 2018 dans le but de mettre au point le premier robot de transport personne autonome et tout-terrain pour le grand public.', 'L’ambition de l’entreprise est de concevoir et développer des produits grand public de grande qualité qui offre des performances remarquables. Cette ambition est sous-tendue par un investissement important en R&D et par une équipe d’ingénieurs passionnés (électronique, informatique embarquée, robotique, mécatronique).', 'Nos robots visent à soulager les femmes et les hommes de tâches fastidieuses, pénibles, ingrates avec des capacités cognitives avancées.', '', 'Ajoutée le : 18 septembre 2019']",borobo.fr,['https://www.linkedin.com/company/borobo/'],SA par action simplifiée à associé unique
MAEL,"Santé, Biotech, Chimie - Services",Le réseau de psychologues disponibles par chat à l’écoute de vos collaborateurs,['Malo  Lebrin'],"['La 1ère action concrète pour prévenir les risques d’hyperstress et de burnout.', 'UN MAEL DÉDIÉ ET RÉACTIF\nÀ chaque mise en place, un Mael viendra vous rencontrer pour discuter et vous orienter dans la mise en place et le suivi de l’outil de chat.', 'L’OUTIL DE CHAT OPÉRATIONNEL\nChaque collaborateur bénéficie d’un accès privé sur son poste de travail ou son mobile. Chaque accès est anonyme et confidentiel.', 'SUIVI ET PRÉCONISATION\nNotre mindset est de vous accompagner, de trouver des réponses adaptées à vos demandes et de vous donner les outils pour améliorer le bien-être de vos collaborateurs.', '', 'Ajoutée le : 18 septembre 2019']",mael.co/,['https://www.linkedin.com/company/28471434/'],MAEL
REUNIO,Services aux entreprises - Productivité,Outil d'organisation réunion pour professionnel et entreprise,"['Patrice THYRION ', 'Sebastien PONS ']","['Réunio est édité par InnovApp, jeune startup ""made in France"" née d\'une volontée commune de ses fondateurs de contribuer à la transformation digitale des entreprises.', 'Soutenus par le programme French Tech de la BPI, nous souhaitons apporter des solutions digitales aux problèmes d’organisation rencontrés par les entreprises.', ""Nos applications se veulent ergonomiques, donnant la priorité à l'UX design et sachant s'interfacer avec les divers environnements de travail pour simplifier la logistique organisationnelle."", '', 'Ajoutée le : 18 septembre 2019']",reunio.fr,['https://www.linkedin.com/showcase/reunio-france'],Société par action simplifiées
EASYCRYO,"Santé, Biotech, Chimie - Health Tech",Fabricant d'appareils de cryothérapie,['Stanislas CERVILLA'],"['La société MKS PARIS est une structure spécialisée dans la cryothérapie localisée\xa0depuis fin 2009.', 'Suite au rachat de la société Novantis France en décembre 2009 qui concevait et commercialisait un produit de cryothérapie à gaz, l’activité de notre structure s’est développée dans le domaine du froid.', 'Nous produisons la gamme «\xa0easycryo\xa0» et commercialisons à notre nom et à nos marques des produits de cryothérapie à air pulsé «\xa0easyair\xa0» depuis 2011 et de compression glacée «\xa0easycry’eau\xa0» depuis fin 2014.', 'Nous offrons donc la possibilité d’utiliser le froid par le gaz, par l’air ou par l’eau dans la kinésithérapie sportive et généraliste.', '', 'Ajoutée le : 17 septembre 2019']",easycryo.fr/fr/,['https://www.linkedin.com/company/mks-paris/'],Société par action simplifiées
PRUNE,"Restauration, Cuisine, Alimentation - Services",La plus grande table bistronomique de France,"['Cyril ROMANET ', 'Charlotte THIENPONT ']","['Une cuisine bistrot, prête à être dégustée dans le confort du chez soi et cela partout en France.', 'Des plats doucement mijotés puis servis dans des bocaux en verre, afin de préserver au mieux leurs saveurs, que l’on déguste sur le moment ou dans les 10 jours après réception.', '', 'Ajoutée le : 17 septembre 2019']",prune.co,['https://www.linkedin.com/company/prune-co/'],Société par action simplifiées
LIBU,"Electronique & Composants - LED, Eclairage",Un éclairage bien-être pour votre entreprise,['Manon LOUSTAU '],"['Le luminaire Libu est une dalle à LED qui s’insère dans vos faux plafonds.', 'Simple d’installation et d’utilisation, il propose une lumière d’une qualité optique optimale à un prix abordable.', 'La technologie de lumière circadienne utilisée contribue au bien-être des salariés via la régulation de l’horloge biologique.', '', 'Ajoutée le : 17 septembre 2019']",libu.fr,['https://www.linkedin.com/company/libu'],Société par action simplifiées
ENDRO,"Mode, Textile, Beauté - Cosmétique",Déodorant naturel bio,"['Boris  Le Goffic', 'Marion  Le Goualher']","[""Endro, un déodorant naturel, bio et vraiment efficace avec seulement 4 ingrédients? C'est possible, on l'a fait!"", ""Terminé les composants nocifs et le plastique, notre gamme de déodorants est composé d'huile de coco, d'amidon de maïs, de bicarbonate de soude et de cire de carnauba , bref une alternative naturelle, dans un bocal en verre recyclable à l'infini!"", ""Sentir bon des aisselles c'est important, en prenant soin de sa santé et de l'environnement c'est encore mieux!"", '', 'Ajoutée le : 17 septembre 2019']",endro-cosmetiques.com/,['https://www.facebook.com/Endro-308485266751720/'],Profession libérale
LES MINI MONDES,"Jeux, Jouets","Des jouets en plastique recyclé, fabriqués en France",['Quentin  Ory'],"[""Les Mini Mondes ce n'est pas juste une marque de jouet, c’est tout un univers !"", 'L’histoire d’une famille qui part faire le tour du monde en VAN…\xa0', 'Ce sont des jouets fun et ludiques qui favorisent l’éveil, mais c’est aussi du contenu éducatif pour les enfants et pour les parents.', 'Côté responsable c’est simple, on a tout fait différemment : plastique recyclé, fabrication française, collecte des jouets en fin de vie, et même le 1% voyage !', '', 'Ajoutée le : 17 septembre 2019']",lesminimondes.fr/,['https://www.linkedin.com/company/les-mini-mondes/'],Société par action simplifiées
L INTENDANCE,"Cleantech, Energie - Recyclage","Consigne simplifiée, 100% zéro-plastique","['Meryem BENMOUAZ ', 'Noélie  Demaegdt']","[""On a créé L’intendance pour vivre au quotidien en améliorant notre impact sur l'environnement."", 'On pense que pour être durable, la consommation du futur est plus locale, plus ingénieuse. \xa0', ""Qu'elle fait coexister les recettes de grand-mères à base de produits naturels et les innovations scientifiques. Que les messages marketing superflus et emballages en plastique n’y ont plus leur place."", 'Vous êtes donc au bon endroit si vous cherchez un repère pour faire vos courses :', '- radicalement sans plastique, avec des emballages réduits à leur minimum et un système de consigne simplifié,\n- en toute transparence sur l’origine et la qualité des produits,\n- en choisissant vos quantités pour ne rien gaspiller, ni vous encombrer inutilement.', 'Et cela sans se ruiner, parce que réduire nos emballages ne devrait pas coûter plus cher.', ""Nos produits sont sélectionnés avec le plus grand soin et nous tirons notre fierté des relations que nous tissons avec les artisans et producteurs partenaires de L'intendance, qui sont tous très sympas."", 'Chaque année dans le monde, ce sont 300 millions de tonnes de plastique qui sont produites dont ⅓ pour les emballages. Sans attendre que les mesures dissuasives soient mises en place, nous vous proposons une solution gourmande et alternative pour amorcer la transition et réduire notre impact environnemental !', ""Soyons globalement cohérents, et concentrons-nous sur l'essentiel."", '', 'Ajoutée le : 17 septembre 2019']",lintendance.co,['https://www.linkedin.com/company/lintendance/'],SA par action simplifiée à associé unique
NEXT STATION,"Emploi, Job",Plateforme de recrutement international,['Maria RODRIGUEZ MONTERO '],"['Postule directement à des centaines de jobs internationaux qui matchent tes compétences, intérêts et priorités.', ""Gagne du temps en recevant directement des demandes d'entretien dans ta boite mail."", ""Fini la recherche d'offres, candidatures et lettres de motivation ! Consacre juste ton temps à découvrir ta prochaine destination et à faire ta valise. On s'occupe du reste."", '', 'Ajoutée le : 17 septembre 2019']",nextstation.com,['https://www.linkedin.com/company/wearenextstation/about/'],Société par action simplifiées
HELLO NEO,"Mode, Textile, Beauté - Accessoires",La plateforme dédiée au mode de vie zéro déchet,"['Baptiste EMY ', 'Debora  Attal']","['Avec une certaine exigence, nous sélectionnons le meilleur de la fabrication tricolore et surtout zéro déchet.', 'Nous vous invitons à partir à la rencontre des artisans, par le biais de notre journal afin de vous inspirer, prendre le temps et consommer différemment.', '', 'Ajoutée le : 16 septembre 2019']",helloneo.fr/,['https://www.linkedin.com/company/hello-neo/'],Commerçant
FRANCE TOMBALE,Services aux particuliers - Services à domicile,Articles funéraires et monuments funéraires traditionnels,['Jeremy  Dols'],"['La société France Tombale propose partout en France des articles funéraires et des monuments funéraires traditionnels mais aussi innovants et notamment une gamme de monuments à monter soi-même.', 'La raison d’être de France Tombale est de proposer le prix juste en toute transparence et en valorisant le granit français et la fabrication française.', '', 'Ajoutée le : 16 septembre 2019']",france-tombale.fr,['https://www.linkedin.com/company/hello-neo/'],Société par action simplifiées
ERMIUM THERAPEUTICS,"Santé, Biotech, Chimie - Diagnostique, Analyse",Développer des thérapies innovantes pour les maladies auto-immunes,['Joel CROUZET '],"[""Ermium Therapeutics est une société de biotechnologie développant des thérapies innovantes pour les maladies auto-immunes, basée sur une découverte décisive montrant que le CXCR4 est un régulateur de l'inflammation."", 'Ermium Therapeutics a été fondée en juin 2019 par Jean-Philippe HERBEUVAL, Kurma Partners, Idinvest Partners, Domain Therapeutics et Erganeo.', ""La société est basée à Paris et a signé un accord de licence exclusive mondiale sur la propriété intellectuelle du CNRS et de l'Université Paris Descartes (France) dans le cadre d'un accord avec Erganeo, qui a soutenu la maturation du projet en milieu universitaire."", ""De plus, Ermium Therapeutics a récemment remporté le prix d'innovation i-Lab 2019 du ministère de la Recherche et de l'Enseignement supérieur."", '', 'Ajoutée le : 16 septembre 2019']",ermium.com/,['https://www.linkedin.com/company/hello-neo/'],Société par action simplifiées
WATTSPLAN,"Art, Culture, Loisirs, Sport - Sport",La première plateforme dédiée au sport et au bien-être,['Arnaud MORLOT '],"['Wattsplan facilite et encourage la pratique d’activités sportives et de bien-être.\xa0', '• Proposez/participez à des plans (évènements, services...), plus de 300 activités sportives/bien-être référencées. Chaque plan publié s’affiche automatiquement sur la page d’accueil des membres intéressés par les mêmes activités. • Trouvez des partenaires d’entraînement, des professionnels (coachs, praticiens…) à proximité.\xa0', '• 300 000 équipements sportifs et 3 000 centres de bien-être géolocalisés.\xa0', '• Restez en forme avec le blog Wattsplan rempli de conseils et d’astuces !\xa0', 'Et ce n’est pas tout ! Sur Wattsplan, vous gagnez des Watts en publiant ou en participant à des plans. Ces Watts donnent accès à des avantages, réductions, cadeaux, proposés par nos partenaires.\xa0', 'Comment ? Rien de plus simple, une minute pour vous inscrire, 1 clic pour participer à une activité !\xa0', ""Vous précisez dans votre profil les activités et la zone géographique qui vous intéressent. Votre page d'accueil vous affiche maintenant automatiquement tous les plans répondant à vos critères. Un plan vous tente ? Cliquez sur « Participer » pour rejoindre la liste de participants !\xa0"", 'Aucun plan ne répond à vos attentes ? Publiez le vôtre, il sera automatiquement diffusé sur la page d’accueil des membres intéressés par l’activité que vous proposez.\xa0', 'Pour convertir vos Watts gagnés, cliquez sur le menu « Offres », puis parcourez la liste des offres de nos partenaires.', 'Laissez-vous guider en consultant les pages « Aide » et « Comment ça marche ? » pour plus d’explications.\xa0', '', 'Ajoutée le : 16 septembre 2019']",wattsplan.com/,['https://www.linkedin.com/company/wattsplan'],Société par action simplifiées
FIFTY,Services aux entreprises - Productivité,Aide les collaborateurs à passer des intentions théoriques à la pratique concrète,['Alexia CORDIER '],"['Fifty aide les collaborateurs à passer des intentions théoriques à la pratique concrète.', ""Notre plateforme génère des actions personnalisées à accomplir en situation de travail, sur l'ensemble des thèmes du savoir-faire et du savoir-être."", ""Nous utilisons la méthode du Nudge, du prix Nobel d'Economie 2017, que nous associons à l'I.A.\xa0"", 'Fifty est une AFEST (action de formation en situation de travail) selon la nouvelle loi Avenir, déployable à grande échelle grâce au digital.', '- Accéléré par Orange et WILCO\n- Soutenu par la BPI et la Région Île-de-France\n- Sélectionné dans les 100 start-ups où investir en 2019 de Challenges\n- Lauréat des concours Grandes Ecoles au Féminin, She Loves Tech France et IE-Club Global 60.\xa0', '', 'Ajoutée le : 16 septembre 2019']",,['https://www.linkedin.com/company/thefiftyapp/'],SA par action simplifiée à associé unique
VICINITY,"Immobilier, BTP, Architecture - Immobilier","Plateforme de communication entre habitants et gestionnaire (Syndic, Résidence étudiante, Bailleur)",['Jérémie MAYOLA '],"[""Vicinity est une plateforme de communication entre habitants d'immeubles et leur syndic de copropriété.\xa0"", ""C'est l'outil idéal pour améliorer la cohésion en copropriété et la communication de la part des syndics de copropriété.\xa0"", ""Aujourd'hui avec Vicinity dans votre immeuble: Une panne d'ascenseur? Un sinistre dans votre logement? Un souci avec les parties communes? Vous ne savez pas à qui vous adresser?\xa0\nNe cherchez plus et contactez directement votre syndic de copropriété, en instantané, depuis votre plateforme mobile!"", ""Vous proposez du soutien scolaire? Vous oubliez votre parapluie dans le hall? Vous cherchez le commerçant le plus proche?\xa0\nÉchangez avec vos voisins sur tout les bons plans, et informations utiles, depuis un espace d'échange commun.\xa0"", 'Vous êtes syndic et vous désirez contacter toute une copropriété en particulier? Vous souhaitez informer un propriétaire ou un locataire?\xa0\nDepuis votre espace de gestion, communiquez à vos habitants toutes les informations qui leur incombent en ayant des réponses réactives!\xa0', ""Alors n'attendez plus, et rejoignez VICINITY!"", '', 'Ajoutée le : 16 septembre 2019']",vicinity-app.com,['https://www.linkedin.com/company/18942963'],Société par action simplifiées
ZOT PHARMA,"Santé, Biotech, Chimie - Pharmaceutique",Application mobile 100% gratuite qui permet à ses utilisateurs de découvrir et essayer des produits de parapharmacie,['Sébastien RIVIERE'],"['ZOT PHARMA est une application mobile 100% gratuite qui permet à ses utilisateurs de découvrir et essayer des produits de parapharmacie tout en bénéficiant d’une réduction après un premier achat.', 'Le principe est simple, votre smartphone en main, vous téléchargez gratuitement l’application ZOT PHARMA disponible sur Apple Store ou Play Store.', 'Vous découvrirez une large gamme de produits de parapharmacie disponible en pharmacie, parapharmacie et vente en ligne. Pour chaque offre en cours, une réduction vous sera proposée sous forme de remboursement après achat.', 'Vous pourrez directement acheter le ou les produits dans la pharmacie ou parapharmacie de votre choix, en demandant à votre pharmacien de vous remettre un ticket de caisse.', 'Aussitôt chez vous, depuis l’application mobile ZOT PHARMA : Photographiez votre ticket de caisse Scannez le code-barres Et hop, vous êtes remboursés de tout ou partie de votre achat directement sur votre compte bancaire ou par PayPal.', 'Alors, n’attendez plus, téléchargez l’application ZOT PHARMA , connectez vous et vous profiterez d’offres exclusives de grandes marques en pharmacie et parapharmacie.', 'De nombreuses grandes marques nous font déjà confiance Vous souhaitez maintenant découvrir et essayer de nouveaux produits de parapharmacie, téléchargez ZOT PHARMA, notre application mobile IOS et Android, 100% gratuite !!!', '', 'Ajoutée le : 16 septembre 2019']",zotpharma.fr,['https://www.linkedin.com/company'],SA par action simplifiée à associé unique
NUKKAI,SSII & NTIC,Un jeu de carte basé sur l'intelligence artificielle,['Véronique VENTOS'],"['Véronique, chercheuse senior à Paris Saclay, a commencé à travailler sur le Bridge en 2015 et a publié plusieurs articles sur le sujet.', 'Ses méthodes ont aidé le programme de ponts WBridge5 à remporter deux fois les Championnats mondiaux de ponts informatiques en 2016 et 2017.', ""Elle et d'autres collègues chercheurs se sont peu à peu convaincus que le pont n'était rien de moins que la prochaine étape importante pour l'intelligence artificielle."", ""Elle a réuni des scientifiques de différentes communautés de l'intelligence artificielle et des experts en passerelles pour lancer le projet international Alphabridge (maintenant appelé idgeBridge) qui s'est développé très rapidement."", '', 'Ajoutée le : 13 septembre 2019']",nukk.ai/,['https://www.linkedin.com/company/nukkailab/'],Société par action simplifiées
SMART-SERVICES,Services aux entreprises - Productivité,"Gérez vos bureaux en toute simplicité, Smart-Services",['Mamoun  Idrissi'],"['A titre privé, vous utilisez de nombreuses applications dans votre quotidien comme Uber pour vous déplacer, Deliveroo pour commander à déjeuner ou Helpling pour votre ménage.', 'Poussez la porte d’une entreprise et vous ferez un bon de 15 ans... en arrière ! Seuls les emails, téléphone et parfois même le fax sont à disposition.', ""C’est en partant de ce postulat que nous avons décidé d’apporter l'innovation qui manquait aux entreprises: une plateforme digitale qui centralise et simplifie la gestion des bureaux."", 'Smart-Services centralise la gestion des services de bureaux dans un seul espace: en 3 clics, on vous trouve les bons prestataires au bon prix et Smart-Services devient votre interlocuteur unique au quotidien.', 'Ça tourne comme une horloge.', 'Notre vision est simple: mettre la technologie à votre disposition pour faciliter la gestion de vos bureaux afin de contribuer au bien-être de vos collaborateurs et garder vos talents!', '', 'Ajoutée le : 13 septembre 2019']",smart-services.com/,['https://www.linkedin.com/company/11102252/'],Société par action simplifiées
ILEK,"Cleantech, Energie",Fournisseur d'électricité verte et de gaz bio issus de producteurs d'énergie indépendants d'origine française,['Julien CHARDON'],"[""Ilek est une startup basée à Toulouse pleine de rêve et d’ambition. Le rêve d’un monde où l’énergie renouvelable constitue la plupart de notre consommation quotidienne et l’ambition d’un fournisseur d’électricité qui changerait les règles du jeu en plaçant le client au centre. ilek est un fournisseur d'électricité verte et de gaz bio issus de producteurs d'énergie français indépendants. Notre modèle : permettre à des producteurs d'énergie renouvelable de vendre directement leur production à des particuliers. Nous mettons en relation producteurs d’énergie renouvelable et consommateurs pour rendre le marché de l'énergie plus simple et transparent. Nous permettons à des foyers de pouvoir changer de contrat de fourniture en bénéficiant pour le même prix d’une énergie verte et locale. L'ensemble de nos équipes sont réunies en plein centre de Toulouse pour un service au plus proche des consommateurs, rapide et efficace. Une équipe jeune et pleine d'ambitions pour renouveler le rapport à l'énergie des ménages français."", '', 'Ajoutée le : 13 septembre 2019']",ilek.fr/,['https://www.linkedin.com/company/ilek/'],Société par action simplifiées
SKEEL,SSII & NTIC - Media,Application mobile de challenges vidéos permettant une compétition virtuelle entre utilisateurs,"['Jonathan CAZENAVE PEYRASSON ', 'Camille PERISSAT ']","['Tu veux savoir qui a fait l’action la plus folle d’un jeux vidéo, le trickshot le plus incroyable, le plus beau freestyle de foot, le slowmotion le plus stylé, etc … ?', 'Alors cette app’ est faite pour toi !', 'Viens te confronter aux autres en postant tes vidéos dans les différents #challenges, accumule des points et des diamants pour monter en grade et accéder aux premières places du Hall of Fame.', 'Tu peux voter sans limites, mais donner seulement 3 diamants par jour aux vidéos que tu trouves les plus incroyables !', 'Il y a des challenges et vidéos pour tous les goûts : sport (freestyle ski, foot, tennis, dance, bmx, skate, roller …), animaux, trickshot, musique, jeux vidéos, bottle flip, paysages, défis écologique, slowmotion, rollback, … Tu l’as compris, tout peut être un challenge !', 'Et si tu ne trouves pas ton bonheur, créer ton challenge et invite tes amis à te répondre pour des battles toujours plus enflammées !!', '', 'Ajoutée le : 13 septembre 2019']",skeelapp.com/,['https://www.linkedin.com/company/skeel/'],Société par action simplifiées
GLEEM,Services aux particuliers - Services à domicile,Lavage Auto À Domicile,['Alexandre COMA '],"[""Vous habitez à Paris ou dans la petite couronne ? Vous n'êtes pas satisfait des options pour laver votre voiture ? Essayer le lavage auto à domicile et profitez de votre temps retrouvé."", 'Fini les voitures sales. Fini l’attente en station de lavage. Fini les crottes de pigeons.', 'Pas de stations de lavage à proximité? N’interrompez plus vos journées chargées et laissez-nous vous simplifier la vie. Commandez un lavage auto en quelques clics.', 'Ne lavez plus jamais votre voiture vous-même. Faire laver sa voiture n’a jamais été aussi simple !', '', 'Ajoutée le : 13 septembre 2019']",gleem.eu,['https://twitter.com/@gleem_Fr'],Société par action simplifiées
HELLOPRET,Finance,Le Prêt Immo 100% Digital,['Olivier JOURDAN '],"['HelloPrêt est né d’un constat simple : trouver le meilleur crédit immobilier c’est pénible ! ;-)', 'Qui a le temps de prendre rendez-vous avec 15 banques et comparez les taux ?\nQui peut prendre une pause de 2 heures dans la journée pour aller rencontrer un courtier ?\nQui a l’expertise pour décortiquer toutes les petites lignes des offres de crédits ?\nQui a envie de tout ça ...?', 'Tous les jours, l’équipe de HelloPrêt se demène pour rendre le crédit le plus fluide possible. De votre toute première simulation à la confirmation de votre crédit bancaire, nous mettons toutes les nouvelles technologies au service de votre prêt immobilier.', '', 'Ajoutée le : 13 septembre 2019']",hellopret.fr/,['https://www.linkedin.com/company/hellopret/'],Société par action simplifiées
NANOCODE,Services aux entreprises - Conseil,Plate-forme collaborative et coopérative de gestion de crise,['Thierry ROLLAND DE RAVEL '],"[""NANOCODE Labs fournit une plateforme collaborative pour automatiser l'alerte et la gestion des situations de crise."", 'Accessible depuis un smartphone, une tablette ou un PC/MAC, la solution EASYLIENCE© renforce la résilience des organisations et optimise le coût des crises.', '', 'Ajoutée le : 13 septembre 2019']",nanocode-labs.com,['https://www.linkedin.com/company/nanocode-labs/'],SA par action simplifiée à associé unique
NEXTPERIENCE,"Services aux entreprises - Management, stratégie","Spécialiste des stratégies de croissance, qu'elles soient internes, externes ou hybrides",['Vincent GRIMALDI '],"[""NEXTPERIENCE est un jeune cabinet dans le domaine de la banque d’affaires, spécialisé dans l'accélération d'entreprises technologiques et innovantes."", ""Nos conseils se concentrent sur les stratégies de croissance, le corporate finance, la fusion et acquisition, et l'animation de tiers-lieux."", 'nous ne marchons pas, nous courrons !', ""NEXTPERIENCE rassemble toutes les compétences en matière de conseil stratégique et de capital investissement pour aider les entreprises innovantes et leurs investisseurs, incubateurs et pépinières d'entreprises."", ""Nous sommes des techies combinant l'expérience de la Chine et des Etats-Unis avec la touche française.\xa0"", 'Yes, we are different !', '', 'Ajoutée le : 13 septembre 2019']",next-perience.com,['https://www.linkedin.com/company/nextperience-tech/about/'],SA par action simplifiée à associé unique
GONG APHASIE,"Santé, Biotech, Chimie - Health Tech",L’application qui rétablit la communication grâce aux images,['Alexandre  Boulmé'],"['J’imagine que vous avez déjà eu un mot « sur le bout de la langue ». Énervant n’est-ce pas ? \xa0C’est le quotidien de 300 000 personnes en France : on appelle cette pathologie « l’aphasie ».\n\xa0\nL’aphasie survient après un AVC : du jour au lendemain, certaines personnes se retrouvent incapables de retrouver les bons mots, coupant leur communication.\xa0\n\xa0\nL’application Gong, conçue par des orthophonistes, rétablit la communication grâce aux images. La personne peut retrouver les mots grâce au clavier d’images personnalisé construit par son orthophoniste. Elle peut l’utiliser ensuite pour se faire comprendre dans sa vie de tous les jours.', '', 'Ajoutée le : 11 septembre 2019']",gong-aphasie.fr,['https://www.linkedin.com/company/samesame-app/'],SARL
SURFY,SSII & NTIC - Big Data,Solution digitale de centralisation des plans et des données en mode SaaS,['Kambiz FAROOGHI '],"[""Agile, pratique et multifonctionnel Surfy vous aide au quotidien dans l'optimisation de votre gestion des m², des occupants et des objets.\xa0"", ""\u200bQue vous soyez DET, acteur du Facility Management, DRH ou encore analyste financier, Surfy dispose de fonctionnalités qui servent vos activités avec efficacité et délivre des plans et des données d'exploitation fiables.\xa0"", ""\u200bSurfy est une solution digitale soluble dans votre culture d'entreprise, \xa0pour permettre l'échange et la communication et une gestion autonome en toute sérénité."", '', 'Ajoutée le : 11 septembre 2019']",surfy.pro,['https://www.linkedin.com/company/surfy/'],Société par action simplifiées
YRCASH,Finance,Gestion dématérialisée de votre trésorerie,['Bruno RENAUD BLANC-FONTENILLE '],"['Créé en 2009, YRCAM puise dans l’expérience de ses entités opérationnelles pour construire une expertise d’anticipation et d’innovation du pilotage et de l’optimisation de la trésorerie clients.', 'En gardant l’esprit pionnier et orienté qualité, YRCAM revisite en permanence les métiers de la relation financière clients.', 'Chez YRCAM, notre engagement est d’optimiser votre trésorerie en vous accompagnant avec des services personnalisés de qualité.', '', 'Ajoutée le : 11 septembre 2019']",yrcash.fr,['https://www.linkedin.com/company/groupeyrcam/'],SA par action simplifiée à associé unique
NAHIBU,"Santé, Biotech, Chimie - Diagnostique, Analyse",Commercialise un kit d'analyse de votre microbiote intestinal,['Pierre CRESSARD '],"[""Grâce à une analyse de votre microbiote vous découvrirez des conseils adaptés à vos besoins afin d'optimiser par l’alimentation votre santé et votre bien-être."", 'Vos résultats apparaissent sous forme de scores en pourcentage par rapport à la cohorte Nahibu (ensemble des utilisateurs).', 'Les explications de vos résultats ainsi que les conseils alimentaires associés vous permettront de mieux comprendre vos analyses et de pouvoir agir sur votre santé.', '', 'Ajoutée le : 11 septembre 2019']",nahibu.com,['https://www.linkedin.com/company/nahibu'],Société par action simplifiées
